Array size: 1000000 range: 1000 
          mergesort  mergesortA mergesortB mergesortC quicksort quicksortA quicksortB quicksortC 
               94ms        81ms       80ms       80ms      62ms       53ms       53ms       53ms 
               81ms        85ms       84ms       80ms      49ms       53ms       50ms       53ms 
               80ms        80ms       80ms       84ms      54ms       53ms       52ms       50ms 
               82ms        82ms       82ms       81ms      50ms       55ms       53ms       56ms 
               81ms        82ms       82ms       84ms      50ms       50ms       50ms       51ms 
               86ms        82ms       87ms       83ms      50ms       50ms       49ms       50ms 
               80ms        80ms       80ms       80ms      49ms       48ms       49ms       48ms 
               80ms        81ms       82ms       81ms      49ms       49ms       50ms       49ms 
               80ms        80ms       81ms       80ms      49ms       49ms       49ms       49ms 
               81ms        81ms       81ms       81ms      49ms       49ms       49ms       49ms 
               81ms        82ms       80ms       80ms      49ms       59ms       49ms       49ms 
               80ms        82ms       80ms       80ms      48ms       48ms       49ms       49ms 
               80ms        80ms       85ms       81ms      48ms       48ms       49ms       48ms 
               81ms        81ms       82ms       80ms      49ms       49ms       49ms       49ms 
               80ms        80ms       80ms       80ms      49ms       50ms       50ms       50ms 
               83ms        82ms       84ms       84ms      49ms       50ms       50ms       50ms 
               81ms        81ms       81ms       81ms      50ms       50ms       50ms       49ms 
               81ms        82ms       81ms       82ms      49ms       49ms       53ms       53ms 
               85ms        82ms       81ms       82ms      50ms       50ms       49ms       49ms 
               80ms        81ms       81ms       82ms      50ms       51ms       50ms       50ms 
               80ms        81ms       81ms       83ms      50ms       49ms       50ms       50ms 
               82ms        81ms       80ms       80ms      49ms       49ms       49ms       49ms 
               80ms        81ms       82ms       81ms      49ms       50ms       50ms       49ms 
               81ms        82ms       82ms       82ms      49ms       49ms       49ms       49ms 
               86ms        88ms       88ms       83ms      50ms       50ms       49ms       50ms 
               81ms        81ms       81ms       81ms      49ms       50ms       54ms       54ms 
               85ms        80ms       80ms       81ms      50ms       50ms       52ms       54ms 
               88ms     33040ms       41ms       80ms      49ms       52ms       51ms       50ms 
               81ms        80ms       80ms       80ms      48ms       49ms       49ms       49ms 
               80ms        80ms       80ms       80ms      48ms       49ms       48ms       49ms 
               81ms        80ms       79ms       80ms      49ms       49ms       49ms       49ms 
               81ms        80ms       81ms       81ms      49ms       49ms       50ms       48ms 
               80ms        80ms       79ms       80ms      49ms       48ms       49ms       49ms 
               80ms        80ms       80ms       80ms      49ms       49ms       48ms       49ms 
               80ms        80ms       80ms       80ms      48ms       48ms       48ms       49ms 
               80ms        80ms       81ms       81ms      50ms       49ms       49ms       49ms 
               81ms        80ms       80ms       80ms      48ms       48ms       48ms       48ms 
               80ms        80ms       81ms       80ms      49ms       50ms       49ms       49ms 
               80ms        83ms       80ms       80ms      48ms       48ms       49ms       48ms 
               80ms        80ms       81ms       80ms      49ms       48ms       49ms       48ms 
               80ms        80ms       80ms       80ms      49ms       49ms       49ms       49ms 
               81ms        82ms       81ms       81ms      50ms       49ms       50ms       49ms 
               79ms        80ms       80ms       80ms      49ms       49ms       48ms       49ms 
               81ms        80ms       81ms       79ms      48ms       48ms       48ms       48ms 
               81ms        79ms       80ms       80ms      50ms       49ms       49ms       50ms 
               81ms        80ms       80ms       80ms      50ms       49ms       49ms       48ms 
               81ms        81ms       81ms       81ms      48ms       49ms       49ms       50ms 
               80ms        80ms       80ms       80ms      49ms       48ms       49ms       48ms 
               80ms        80ms       80ms       80ms      49ms       49ms       49ms       49ms 
               80ms        80ms       80ms       80ms      49ms       49ms       49ms       49ms 
               80ms        80ms       80ms       80ms      49ms       50ms       49ms       49ms 
               80ms        80ms       80ms       79ms      49ms       49ms       48ms       48ms 
               79ms        80ms       80ms       81ms      49ms       48ms       49ms       49ms 
               79ms        81ms       80ms       80ms      48ms       48ms       49ms       48ms 
               80ms        80ms       80ms       84ms      49ms       49ms       50ms       49ms 
               81ms        79ms       80ms       80ms      49ms       49ms       49ms       49ms 
               80ms        81ms       81ms       80ms      48ms       48ms       48ms       47ms 
               80ms        80ms       80ms       80ms      49ms       50ms       49ms       50ms 
               80ms     24289ms       42ms       79ms      50ms       49ms       49ms       49ms 
               80ms        79ms       80ms       80ms      49ms       49ms       49ms       49ms 
               81ms        81ms       82ms       81ms      48ms       48ms       49ms       48ms 
               80ms        80ms       79ms       81ms      49ms       49ms       48ms       48ms 
